12, 25
1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 6
1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1
1, 1, 1, 10, 10, 10, 10, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 10, 3, 3, 1, 1, 1, 1
1, 5, 1, 10, 6, 1, 1, 1, 1, 5, 10, 1, 1, 4, 10, 1, 5, 1, 10, 1, 6, 10, 1, 5, 1
1, 1, 1, 10, 1, 1, 1, 1, 6, 1, 10, 3, 1, 1, 10, 1, 1, 1, 10, 1, 1, 10, 1, 1, 1
1, 1, 1, 10, 3, 3, 3, 1, 1, 1, 10, 1, 3, 6, 10, 1, 1, 1, 10, 1, 7, 10, 1, 1, 1
4, 1, 1, 10, 1, 7, 1, 1, 1, 1, 10, 7, 3, 1, 10, 1, 1, 1, 10, 1, 1, 10, 1, 1, 1
1, 1, 1, 10, 1, 1, 1, 1, 1, 1, 10, 1, 1, 3, 10, 1, 1, 7, 10, 1, 1, 10, 1, 4, 1
1, 1, 1, 10, 1, 1, 1, 1, 1, 1, 10, 1, 1, 1, 10, 1, 1, 1, 10, 5, 1, 10, 1, 1, 1
1, 1, 1, 10, 3, 3, 3, 5, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 10, 10, 3, 1, 1, 1, 1
1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 7, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 7, 1, 1
