12, 25
5, 1, 1, 10, 1, 4, 1, 3, 1, 1, 1, 1, 0, 1, 1, 1, 1, 3, 1, 4, 1, 10, 1, 1, 1
1, 1, 10, 1, 10, 1, 3, 1, 3, 1, 1, 10, 10, 10, 5, 1, 3, 1, 3, 1, 10, 1, 10, 1, 1
1, 10, 1, 1, 1, 10, 1, 7, 1, 3, 1, 1, 0, 1, 1, 3, 1, 1, 1, 10, 1, 6, 1, 10, 1
10, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 0, 1, 3, 1, 1, 7, 1, 1, 1, 1, 1, 1, 10
10, 1, 1, 7, 1, 1, 1, 1, 1, 1, 3, 1, 0, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 10
10, 6, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 0, 1, 3, 1, 1, 1, 1, 1, 1, 7, 1, 1, 10
10, 1, 1, 1, 1, 1, 7, 1, 6, 1, 3, 1, 0, 1, 3, 1, 1, 1, 6, 1, 1, 1, 1, 1, 10
1, 10, 1, 1, 5, 1, 1, 1, 1, 3, 1, 1, 0, 1, 1, 3, 1, 1, 1, 1, 5, 1, 1, 10, 1
1, 1, 10, 1, 1, 1, 1, 1, 3, 1, 7, 1, 0, 1, 1, 1, 3, 1, 1, 1, 1, 1, 10, 1, 1
1, 1, 1, 10, 1, 1, 1, 3, 1, 1, 1, 10, 10, 10, 1, 1, 1, 3, 7, 1, 1, 10, 1, 1, 1
1, 5, 1, 1, 10, 1, 3, 1, 5, 1, 1, 1, 0, 1, 1, 1, 1, 1, 3, 1, 10, 1, 1, 5, 1
1, 1, 1, 5, 1, 10, 7, 1, 1, 1, 1, 1, 0, 1, 1, 1, 5, 1, 7, 10, 1, 7, 1, 1, 1
